trl_ID,盤點日期
TRL20220706005,20221111
TRL20220729025,20221111
TRL20221103001,20221111
TRL20221103003,20221111
TRL20221012021,20221111
TRL20220823017,20221111
TRL20220823016,20221111
TRL20220321032,20221111
TRL20220321030,20221111
TRL20220623043,20221111
TRL20220727041,20221111
TRL20221103006,20221111
TRL20221021004,20221111
TRL20221021003,20221111
TRL20221019010,20221111
TRL20221019009,20221111
TRL20221019013,20221111
TRL20221019011,20221111
TRL20200331057,20221111
TRL20221019012,20221111
TRL20220321028,20221111
TRL20210108006,20221111
TRL20220929001,20221111
TRL20210108005,20221111
TRL20210108005,20221111
TRL20221101003,20221111
TRL20220823009,20221111
TRL20220815016,20221111
TRL20220408018,20221111
TRL20220930032,20221111
TRL20220930031,20221111
TRL20210217003,20221111
TRL20220929002,20221111
TRL20220704021,20221111
TRL20220701001,20221111
TRL20210428001,20221111
TRL20220719011,20221111
TRL20220801018,20221111
TRL20220818031,20221111
TRL20220920068,20221111
TRL20210129002,20221111
TRL20221104013,20221111
TRL20221104013,20221111
TRL20210422001,20221111
TRL20221104006,20221111
TRL20220920067,20221111
TRL20221027033,20221111
TRL20220719012,20221111
TRL20220725009,20221111
TRL20210428001,20221111
TRL20221011026,20221111
TRL20211022002,20221111
TRL20220630026,20221111
TRL20220921008,20221111
TRL20221011027,20221111
TRL20220630027,20221111
TRL20220630027,20221111
TRL20221018024,20221111
TRL20220616032,20221111
TRL20221018024,20221111
TRL20221018025,20221111
TRL20221103016,20221111
TRL20220929002,20221111
TRL20220701001,20221111
TRL20221018043,20221111
TRL20221018043,20221111
TRL20221027024,20221111
TRL20220309017,20221111
TRL20220309017,20221111
TRL20220817018,20221111
TRL20220829020,20221111
TRL20220609025,20221111
TRL20220609025,20221111
TRL20220829021,20221111
TRL20220817021,20221111
TRL20220609026,20221111
TRL20220511022,20221111
TRL20220310025,20221111
TRL20220510010,20221111
TRL20220801020,20221111
TRL20220609026,20221111
TRL20220323011,20221111
TRL20220323011,20221111
TRL20211013002,20221111
TRL20220224040,20221111
